http://140.115.82.191/old/warehouse/sigmod98.ps	10.1145/276305.276329
http://3morduc.googlecode.com/svn-history/r261/trunk/doc/simulatore_privitera.pdf	10.1145/1180495.1180544
http://academypublisher.net/jcm/vol04/no02/jcm0402119125.pdf	10.4304/jcm.4.2.119-125
http://academypublisher.net/jcm/vol04/no04/jcm0404257266.pdf	10.4304/jcm.4.4.257-266
http://academypublisher.net/jnw/vol04/no06/jnw0406436444.pdf	10.4304/jnw.4.6.436-444
http://advan.physiology.org/content/ajpadvan/27/3/156.1.full.pdf	10.1152/advan.00015.2003
http://advan.physiology.org/content/ajpadvan/36/4/336.full.pdf	10.1152/advan.00050.2012
http://ajpcell.physiology.org/content/ajpcell/289/1/C230.full.pdf	10.1152/ajpcell.00069.2005
http://ajpcell.physiology.org/content/ajpcell/292/5/C1874.full.pdf	10.1152/ajpcell.00617.2006
http://ajpcell.physiology.org/content/ajpcell/294/4/C879.full.pdf	10.1152/ajpcell.00490.2007
http://ajpcell.physiology.org/content/ajpcell/294/6/C1419.full.pdf	10.1152/ajpcell.00413.2007
http://ajpcell.physiology.org/content/ajpcell/303/9/C924.full.pdf	10.1152/ajpcell.00459.2011
http://ajpcell.physiology.org/content/ajpcell/305/6/C601.full.pdf	10.1152/ajpcell.00042.2013
http://ajpcell.physiology.org/content/ajpcell/306/12/C1108.full.pdf	10.1152/ajpcell.00205.2013
http://ajpcell.physiology.org/content/ajpcell/311/5/C805.full.pdf	10.1152/ajpcell.00279.2016
http://ajpgi.physiology.org/content/ajpgi/285/6/G1091.full.pdf	10.1152/ajpgi.00193.2003
http://ajpgi.physiology.org/content/ajpgi/287/6/G1238.full.pdf	10.1152/ajpgi.00471.2003
http://ajpgi.physiology.org/content/ajpgi/292/3/G706.full.pdf	10.1152/ajpgi.00347.2006
http://ajpgi.physiology.org/content/ajpgi/293/2/G510.full.pdf	10.1152/ajpgi.00102.2007
http://ajpgi.physiology.org/content/ajpgi/294/1/G184.full.pdf	10.1152/ajpgi.00348.2007
http://ajpgi.physiology.org/content/ajpgi/294/3/G728.full.pdf	10.1152/ajpgi.00002.2007
http://ajpgi.physiology.org/content/ajpgi/296/3/G651.full.pdf	10.1152/ajpgi.90387.2008
http://ajpgi.physiology.org/content/ajpgi/297/6/G1198.full.pdf	10.1152/ajpgi.00168.2009
http://ajpgi.physiology.org/content/ajpgi/300/4/G637.full.pdf	10.1152/ajpgi.00381.2010
http://ajpgi.physiology.org/content/ajpgi/304/10/G897.full.pdf	10.1152/ajpgi.00160.2012
http://ajpgi.physiology.org/content/ajpgi/305/12/G881.full.pdf	10.1152/ajpgi.00289.2013
http://ajpgi.physiology.org/content/ajpgi/307/2/G229.full.pdf	10.1152/ajpgi.00424.2013
http://ajpgi.physiology.org/content/ajpgi/307/4/G471.full.pdf	10.1152/ajpgi.00156.2014
